path	cell	dataType	antibody	view	replicate	type	lab
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878Ctcf.broadPeak.gz	GM12878	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k27ac.broadPeak.gz	GM12878	ChipSeq	H3K27ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k27me3.broadPeak.gz	GM12878	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k36me3.broadPeak.gz	GM12878	ChipSeq	H3K36me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k4me1.broadPeak.gz	GM12878	ChipSeq	H3K4me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k4me2.broadPeak.gz	GM12878	ChipSeq	H3K4me2	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k4me3.broadPeak.gz	GM12878	ChipSeq	H3K4me3	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H3k9ac.broadPeak.gz	GM12878	ChipSeq	H3K9ac	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksGm12878H4k20me1.broadPeak.gz	GM12878	ChipSeq	H4K20me1	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescCtcf.broadPeak.gz	H1-hESC	ChipSeq	CTCF	Peaks		broadPeak	Broad
http://hgdownload.cse.ucsc.edu/goldenPath/hg18/encodeDCC/wgEncodeBroadChipSeq/wgEncodeBroadChipSeqPeaksH1hescH3k27me3.broadPeak.gz	H1-hESC	ChipSeq	H3K27me3	Peaks		broadPeak	Broad
