path	cell	dataType	antibody	view	replicate	type	lab
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab2621FCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K79me3_(ab2621)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab2621FCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K79me3_(ab2621)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab2621FCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K79me3_(ab2621)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab32356FCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K4me2_(ab32356)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab32356FCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K4me2_(ab32356)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab32356FCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K4me2_(ab32356)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bE2p60hPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K79me2_(ab3594)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bE2p60hPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K79me2_(ab3594)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bE2p60hPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K79me2_(ab3594)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bPcr1xAlnRep1.bam	C2C12	ChipSeq	H3K79me2_(ab3594)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bPcr1xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3K79me2_(ab3594)	Peaks	1	narrowPeak	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12Ab3594FCntrl50bPcr1xSigRep1.bigWig	C2C12	ChipSeq	H3K79me2_(ab3594)	Signal	1	bigWig	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xAlnRep1.bam	C2C12	ChipSeq	H3ac_(06-599)	Alignments	1	bam	Caltech-m
http://hgdownload.cse.ucsc.edu/goldenPath/mm9/encodeDCC/wgEncodeCaltechHist/wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xPkRep1.narrowPeak.gz	C2C12	ChipSeq	H3ac_(06-599)	Peaks	1	narrowPeak	Caltech-m
