GeneDB|LmjF.19	LmjF.19
GeneDB|LmjF.35	LmjF.35
GeneDB|LmjF.17	LmjF.17
GeneDB|LmjF.36	LmjF.36
GeneDB|LmjF.18	LmjF.18
GeneDB|LmjF.33	LmjF.33
GeneDB|LmjF.15	LmjF.15
GeneDB|LmjF.34	LmjF.34
GeneDB|LmjF.16	LmjF.16
GeneDB|LmjF.13	LmjF.13
GeneDB|LmjF.14	LmjF.14
GeneDB|LmjF.11	LmjF.11
GeneDB|LmjF.12	LmjF.12
GeneDB|LmjF.10	LmjF.10
GeneDB|LmjF.31	LmjF.31
GeneDB|LmjF.32	LmjF.32
GeneDB|LmjF.30	LmjF.30
GeneDB|LmjF.09	LmjF.09
GeneDB|LmjF.08	LmjF.08
GeneDB|LmjF.04	LmjF.04
GeneDB|LmjF.22	LmjF.22
GeneDB|LmjF.05	LmjF.05
GeneDB|LmjF.23	LmjF.23
GeneDB|LmjF.06	LmjF.06
GeneDB|LmjF.24	LmjF.24
GeneDB|LmjF.07	LmjF.07
GeneDB|LmjF.25	LmjF.25
GeneDB|LmjF.26	LmjF.26
GeneDB|LmjF.01	LmjF.01
GeneDB|LmjF.27	LmjF.27
GeneDB|LmjF.02	LmjF.02
GeneDB|LmjF.28	LmjF.28
GeneDB|LmjF.03	LmjF.03
GeneDB|LmjF.29	LmjF.29
GeneDB|LmjF.20	LmjF.20
GeneDB|LmjF.21	LmjF.21
