gb|AAKM01001413	AAKM01001413
gb|AAKM01001412	AAKM01001412
gb|AAKM01001415	AAKM01001415
gb|AAKM01001414	AAKM01001414
gb|AAKM01001417	AAKM01001417
gb|AAKM01001416	AAKM01001416
gb|AAKM01001419	AAKM01001419
gb|AAKM01001418	AAKM01001418
gb|AAKM01001411	AAKM01001411
gb|AAKM01001410	AAKM01001410
gb|AAKM01001426	AAKM01001426
gb|AAKM01001425	AAKM01001425
gb|AAKM01001424	AAKM01001424
gb|AAKM01001423	AAKM01001423
gb|AAKM01001429	AAKM01001429
gb|AAKM01001428	AAKM01001428
gb|AAKM01001427	AAKM01001427
gb|AAKM01001422	AAKM01001422
gb|AAKM01001421	AAKM01001421
gb|AAKM01001420	AAKM01001420
gb|AAKM01001408	AAKM01001408
gb|AAKM01001407	AAKM01001407
gb|AAKM01001406	AAKM01001406
gb|AAKM01001405	AAKM01001405
gb|AAKM01001404	AAKM01001404
gb|AAKM01001403	AAKM01001403
gb|AAKM01001402	AAKM01001402
gb|AAKM01001401	AAKM01001401
gb|AAKM01001400	AAKM01001400
gb|AAKM01001409	AAKM01001409
gb|AAKM01001790	AAKM01001790
gb|AAKM01001792	AAKM01001792
gb|AAKM01001791	AAKM01001791
gb|AAKM01001794	AAKM01001794
gb|AAKM01001793	AAKM01001793
gb|AAKM01001796	AAKM01001796
gb|AAKM01001795	AAKM01001795
gb|AAKM01002098	AAKM01002098
gb|AAKM01001798	AAKM01001798
gb|AAKM01002097	AAKM01002097
gb|AAKM01001797	AAKM01001797
gb|AAKM01002099	AAKM01002099
gb|AAKM01001799	AAKM01001799
gb|AAKM01002091	AAKM01002091
gb|AAKM01002092	AAKM01002092
gb|AAKM01002090	AAKM01002090
gb|AAKM01002095	AAKM01002095
gb|AAKM01002096	AAKM01002096
gb|AAKM01002093	AAKM01002093
gb|AAKM01002094	AAKM01002094
gb|AAKM01002089	AAKM01002089
gb|AAKM01002088	AAKM01002088
gb|AAKM01002087	AAKM01002087
gb|AAKM01002086	AAKM01002086
gb|AAKM01002532	AAKM01002532
gb|AAKM01002533	AAKM01002533
gb|AAKM01002530	AAKM01002530
gb|AAKM01002531	AAKM01002531
gb|AAKM01002536	AAKM01002536
gb|AAKM01002537	AAKM01002537
gb|AAKM01002534	AAKM01002534
gb|AAKM01002535	AAKM01002535
gb|AAKM01002538	AAKM01002538
gb|AAKM01002539	AAKM01002539
gb|AAKM01002520	AAKM01002520
gb|AAKM01002521	AAKM01002521
gb|AAKM01002522	AAKM01002522
gb|AAKM01002523	AAKM01002523
gb|AAKM01002524	AAKM01002524
gb|AAKM01002525	AAKM01002525
gb|AAKM01002526	AAKM01002526
gb|AAKM01002527	AAKM01002527
gb|AAKM01002528	AAKM01002528
gb|AAKM01002529	AAKM01002529
gb|AAKM01002554	AAKM01002554
gb|AAKM01002555	AAKM01002555
gb|AAKM01002552	AAKM01002552
gb|AAKM01002553	AAKM01002553
gb|AAKM01002550	AAKM01002550
gb|AAKM01002551	AAKM01002551
gb|AAKM01002558	AAKM01002558
gb|AAKM01002559	AAKM01002559
gb|AAKM01002556	AAKM01002556
gb|AAKM01002557	AAKM01002557
gb|AAKM01002541	AAKM01002541
gb|AAKM01002542	AAKM01002542
gb|AAKM01002543	AAKM01002543
gb|AAKM01002544	AAKM01002544
gb|AAKM01002540	AAKM01002540
gb|AAKM01002549	AAKM01002549
gb|AAKM01002545	AAKM01002545
gb|AAKM01002546	AAKM01002546
gb|AAKM01002547	AAKM01002547
gb|AAKM01002548	AAKM01002548
gb|AAKM01002580	AAKM01002580
gb|AAKM01002579	AAKM01002579
gb|AAKM01002578	AAKM01002578
gb|AAKM01000320	AAKM01000320
gb|AAKM01000322	AAKM01000322
gb|AAKM01000321	AAKM01000321
gb|AAKM01000324	AAKM01000324
gb|AAKM01002573	AAKM01002573
gb|AAKM01000323	AAKM01000323
gb|AAKM01002572	AAKM01002572
gb|AAKM01000326	AAKM01000326
gb|AAKM01002571	AAKM01002571
gb|AAKM01000325	AAKM01000325
